,id,outcome,risk,exposure,cov_1,cov_2
0,0.0,0.0,0.0,0.7400195073019243,0.8227254749045236,0.4799964824680448
1,430.0,0.0,0.0,0.0021795798620858025,3.4963754586871088,0.6535371842827042
2,437.0,0.0,0.0,0.00047679144910251425,2.25400076023071,0.7986924589570565
3,455.0,0.0,0.0,0.00863933838094247,1.4839949664693957,0.7796764737230307
4,241.0,0.0,0.0,0.7569792325480118,3.0694096973317353,0.24518442834476573
5,19.0,0.0,0.0,0.7468577428961537,2.9903491840435232,0.4439107974756018
6,231.0,0.0,0.0,0.7612300919919577,1.9431937267920758,0.6821306315578956
7,238.0,0.0,0.0,0.7671180929724829,1.1301276653343448,0.6851194882211123
8,24.0,0.0,0.0,0.7448167989577553,2.5082764842939698,0.6226190637021292
9,29.0,0.0,0.0,0.7510513207003133,1.010424564976535,0.7987808999402802
10,249.0,0.0,0.0,0.7484724890412502,1.0002803508676217,0.854294386900882
11,258.0,0.0,0.0,0.0005685740491836226,3.4667146134238016,0.3055426134566881
12,180.0,0.0,0.0,0.7419992127248428,1.0163663529692504,0.9546309232142733
13,126.0,0.0,0.0,0.742383529893263,1.336892192980427,0.16862678350238636
14,405.0,0.0,0.0,0.016560950643587983,3.1279432933742344,0.4175447914049931
15,302.0,0.0,0.0,0.0046426531132082996,1.7679168813332224,0.5058348660835554
16,270.0,0.0,0.0,0.004428052733319034,2.413456476345433,0.04864610349668741
17,141.0,0.0,0.0,0.7457958427087945,0.4700710456861902,0.6016516608349726
18,284.0,0.0,0.0,0.008209297281483062,1.4026776454054208,0.6514989017573205
19,311.0,0.0,0.0,0.011395799746229533,3.437112707681595,0.05533248300681892
20,78.0,0.0,0.0,0.7605392529761275,2.56070384757907,0.7143782572005986
21,368.0,0.0,0.0,0.001611044273504563,1.1882441676917697,0.037631552005620184
22,388.0,0.0,0.0,0.0013859422425938773,3.2776615796139748,0.8326841837758444
23,1.0,0.0,0.0,0.7292978578311154,1.480869989654769,0.6820046090530728
24,123.0,0.0,0.0,0.7550099866146623,3.368529932797246,0.7934708663990091
25,401.0,0.0,0.0,0.003200459155311686,2.1630724400517534,0.4408465731969794
26,493.0,0.0,0.0,0.0012309608352982391,3.475013198725915,0.571927740469916
27,185.0,0.0,0.0,0.7619969976309648,2.575399437281628,0.660211643867888
28,410.0,0.0,0.0,0.013152571759111394,1.572120451101078,0.9793006935541885
29,369.0,0.0,0.0,0.0032353228621093827,1.3571767526731253,0.1519331847502169
30,257.0,0.0,0.0,0.0032456105030552584,1.05301821209227,0.8634429792645041
31,88.0,0.0,0.0,0.7438628719429912,0.7932771772679277,0.12342967309606423
32,471.0,0.0,0.0,0.010181430418652698,1.9656464835621628,0.35766361246362777
33,134.0,0.0,0.0,0.7654235607828803,2.7489555708599798,0.9312376480577772
34,196.0,0.0,0.0,0.7385953042842798,1.0942112961069927,0.4781962652960332
35,499.0,0.0,0.0,0.017784556269093258,1.6449344575792153,0.779784281419938
36,482.0,0.0,0.0,0.0035577865345058184,3.1408275713092704,0.346422459950086
37,486.0,0.0,0.0,0.0014487270195018105,1.7143632052907583,0.4351023254125609
38,468.0,0.0,0.0,0.0017940863052111717,2.4615300793674395,0.07685321842970694
39,83.0,0.0,0.0,0.7527082316178437,2.2098551659573182,0.49074484041444555
40,60.0,0.0,0.0,0.755397296421303,1.4216975547136093,0.6747696350260419
41,343.0,0.0,0.0,0.0011812279526643463,1.4266580316932929,0.2912126743600407
42,266.0,0.0,0.0,0.014575801583042567,3.664617775190914,0.308286076878603
43,58.0,0.0,0.0,0.764909207571588,1.0073033583573472,0.33216945697579536
44,113.0,0.0,0.0,0.7480797962868103,0.9466944494329045,0.7459372990003558
45,466.0,0.0,0.0,0.0106700020131348,2.688034081550615,0.9293794946466573
46,232.0,0.0,0.0,0.7371956761955689,2.5298678339721477,0.37655991161774616
47,179.0,0.0,0.0,0.7473485613761993,1.9468903948629959,0.046935106755617184
48,157.0,0.0,0.0,0.7518133361812799,1.5232445911707266,0.6255729291962411
49,23.0,0.0,0.0,0.7467898946587722,3.07802896317311,0.9404417396285834
50,182.0,0.0,0.0,0.7432796884557873,2.8059731390831946,0.8263581646325837
51,222.0,0.0,0.0,0.7692520844637457,2.9485122761959635,0.7522600209605005
52,323.0,0.0,0.0,0.00828976053488254,2.3777491128011126,0.6197408826123271
